state,storeName,address1,address2
Abia,Tonimas    Junction CP,Aba Port Harcourt    Express Aba,No second address
Adamawa,Mubi CP,84 Sokokto Street    Kolere Mubi,No second address
Akwa Ibom,Ikot Ekpene CP,Wakyz Eatery    Premises, No. 1 Abak Rd
Anambra,Oyi CP,Building Material Mkt    Oyi,No second address
Awka,,,
Bauchi,Yelwa CP,Along Dass Road Rafin    Zurfi,No second address
Bayelsa,MTN Service Center Yenagoa,MTN Service Center, Plot 5 DSP Alameseigha road
Benue,Gboko CP,Bolek Filling    Station, Km 2 Gboko Road
Borno,Kano Road CP,No 8 Lagos Street    Maiduguri,No second address
Cross River,Mcc Junction    CP,By Mobil Filling    Station Mcc Road Muritala Muhammed Highway Calabar,No second address
Delta,Kwale CP,Ferdikat Filling    Station Opposite Delta Line,No 75 Umusadege Road Kwale.
Ebonyi,Afikpo CP,53A Eke Market Road,    Amangballa Roundabout
Edo,Agbor Road CP,156 Benin Agbor Road    Edo State.,No second address
Ekiti,Oau CP,Central Market , Oau    Main Campus
Enugu,Imt CP,Information    Management Technology, Opposite Afrihub
FCT,Oando Filling    Station Abuja Kubwa CP,Oando Filling    Station, Katampe Gwarimpa- Zuba Expressway Abuja
Gombe,Billiri CP,Secreteriat Junnction    Billiri,No second address
Imo,Okigwe    CP,Front Of Rochas    Park, Okigwe
Jigawa,Gumel CP,Shop No. 3 Gusau    Kanjau Plaza, Gumel Town
Kaduna,Kafanchan CP,Opposite Eco Bank    Kafanchan,Kaduna
Kano,Buk Point CP,Bayero University    Kano Main Campus,No second address
Katsina,Bakori CP,No. 56 Katsina Road    Bakori Katsina,No second address
Kebbi,Zuru CP,Fada AreaÂ  Opposite Emier Palace Zuru Kebbi State,No second address
Kogi,Obajana CP,Oppossite Factory    Gate Obajana,No second address
Kwara,Al-Hilkimah CP,Opposite Al-Hikmah    University Main Campus,No second address
Lagos,Egbeda CP,32 Akowonjo Road,    Egbeda Bus Stop. Lagos
Nassarawa,Akwanga CP,Cliff Pharmacy Keffi    Road, Akwanga
Niger,"Oando Filling    Station, Bida CP",Oando Filling    Station, Bigger Bida Station
Ogun,Oke Aro    (Formerly Ajuwon) CP,21, Agbado Road
Ondo,Ore CP,Mobil Area, Ore
Osun,Ikire CP,Mrs Filling Station,    Ita Merin
Oyo,Idi-Ape CP,Beside Conoil, Idi    Ape
Plateau,Mangu CP,After Police, Tipper    Garage
Rivers,Igwuruta CP,Igwuruta Park, Beside    Anglican Church On Airport Road
Sokoto,Oando CP,Estern Bypass Road    Opposite Dankure Market Sokoto North ,Sokoto State
Taraba,Wukari CP,Best Abino Filling    Station, Takum Junction
Yobe,Potiskum CP,Oando Filling Station    Kwanar Gadara Potiskum,No second address
Zamfara,Gummi CP,6, Beside Gummi Motor    Park
